Title,Link
Syllabus,
Glossary,
"1.1 Professional Communication: Introduction, Types of Communication","https://www.youtube.com/watch?v=MqLTLeCsAos&amp;feature=youtu.be ,https://youtu.be/hCGJvL41ECY ,"
"1.2 Oral Communication: Forms, Advantages & Limitations","https://www.youtube.com/watch?v=3zx1xLxLE68&amp;feature=youtu.be ,https://www.youtube.com/watch?v=5hvVjOqk_4o ,"
"1.3 Written Communication: Forms, Advantages & Limitations","https://www.youtube.com/watch?v=02KuJUtPjdk&amp;feature=youtu.be ,https://www.youtube.com/watch?v=BHgQ03UuQvE ,"
1.4 Non-verbal Communication: Principles and Significance,"https://www.youtube.com/watch?v=6cJFAUdF0oQ&amp;feature=youtu.be ,https://www.youtube.com/watch?v=fLaslONQAKM ,"
"1.5 KOPPACT: Kinesis, Oculesics, Paralanguage","https://www.youtube.com/watch?v=OqPWMZmvqfw&amp;feature=youtu.be ,https://www.youtube.com/watch?v=jCUTyi_bKrU ,"
"1.6 KOPPACT: Proxemics, Artifacts, Chronemics, Tactilics","https://www.youtube.com/watch?v=GrC5buVubhE&amp;feature=youtu.be ,https://youtu.be/SKhsavlvuao ,"
2.1.1 Small Talk: Social Communication Essentials,"https://youtu.be/W28KTX_vlWg ,https://youtu.be/WGoIoDuf83o ,"
2.1.2 Small Talk: Conversational Patterns; Differences,"https://youtu.be/uVteqiC-OlY ,https://www.youtube.com/watch?v=xmx07H3sn1w ,"
2.1.3 Building rapport,"https://youtu.be/IhZ8zi2Z8cI ,https://www.youtube.com/watch?v=dENi7K2lX4U ,"
2.1.4 Methods to Build Rapport,"https://youtu.be/LzVrexcObSA ,https://www.youtube.com/watch?v=wEGjZoTBitg ,"
2.1.5 Informal Communication,"https://youtu.be/2NtSLqmgoFA ,https://www.youtube.com/watch?v=egtyq2ccCIA ,"
2.1.6 Informal Communication : Advantages and Limitations of Informal Communication,"https://youtu.be/hxOj9DggcV4 ,https://www.youtube.com/watch?v=jLjuSVQ-PR4 ,"
2.2.1 Introduction to Cross-Cultural Communication ,"https://www.youtube.com/watch?v=sc4XhyPcpHY&amp;feature=youtu.be ,https://www.youtube.com/watch?v=YMyofREc5Jk ,"
2.2.2_Cross-Cultural Communication and Context ,"https://www.youtube.com/watch?v=l47nebg7BtE&amp;feature=youtu.be ,https://youtu.be/kujUs_6qeUI ,"
2.2.3_Ethnocentrism,"https://youtu.be/V9ljcO7Lg0w ,https://www.youtube.com/watch?v=fDreRKfEbZo ,"
2.2.4_Stereotyping ,"https://www.youtube.com/watch?v=LcP64YmyHto&amp;feature=youtu.be ,https://www.youtube.com/watch?v=qMe9Oerdl84 ,"
2.2.5_Cultural Relativism ,"https://www.youtube.com/watch?v=5r5s7FuOaUY&amp;feature=youtu.be ,https://www.youtube.com/watch?v=i43hSPP3qnI ,"
2.2.6_Culture Shock and Social Change ,"https://youtu.be/a_2Cl0uGSWo ,https://www.youtube.com/watch?v=g-ef-xhC_bU ,"
3.1.1 Meetings: Meaning and Purposes,"https://www.youtube.com/watch?v=LgOzq9KJ04s ,https://www.youtube.com/watch?v=2T-7TAxxUfc ,"
3.1.2 Steps in Conducting Meeting,"https://www.youtube.com/watch?v=iMhEPLZGkFA ,https://www.youtube.com/watch?v=Smro12PXsW8 ,"
3.1.3 Written Documents,"https://www.youtube.com/watch?v=Z260gfG-FAo ,https://www.youtube.com/watch?v=X8BkGpi_skQ ,"
3.1.4 Online Meetings,"https://www.youtube.com/watch?v=2U_XlPH1F74 ,https://www.youtube.com/watch?v=NPVTLroz2Ck ,"
4.1.1_Types of Reports,"https://www.youtube.com/watch?v=3-NAJSsFKYw ,https://www.youtube.com/watch?v=_eu9maTxHkg ,"
4.1.2 Significance of Reports,"https://www.youtube.com/watch?v=1DuLGgmu0xI ,https://www.youtube.com/watch?v=p_9d6rcjHeQ ,"
4.1.3 Report Planning,"https://www.youtube.com/watch?v=nwMH3vaYzwI ,https://www.youtube.com/watch?v=unsFK23vJjk ,"
4.1.4 Process of Report Writing,"https://www.youtube.com/watch?v=36xa5J1QgQU ,https://www.youtube.com/watch?v=Sy2KrIIi_eo ,"
